deck_key,partidas_jogadas,vitorias,empates,jogadores_unicos,eventos,derrotas,win_rate,deck_name_pt,deck_name_en,colecao,deck_url
"Ave, Caesar",6,2,0,2,2,4,0.3333333333333333,"Ave, Caesar","Hail, Caesar",Fallout,https://moxfield.com/decks/a6xg5ghnH0C-IB5PPqTZBQ
Hora das Engenhocas,6,0,0,2,3,6,0.0,Hora das Engenhocas,Tinker Time,March of the Machine,https://moxfield.com/decks/cf0NveDIIUOC_PgJZD7LqA
Family Matters,6,1,0,2,3,5,0.16666666666666666,Family Matters,Family Matters,Bloomburrow,https://moxfield.com/decks/c6jPOurIekil4dXtwVWq8w
Sworn to Darkness,6,0,0,1,3,6,0.0,Sworn to Darkness,Sworn to Darkness,Commander 2014,https://moxfield.com/decks/Sxxow-NUdECKl336ngE4eA
Sultai Arisen,6,1,0,3,2,5,0.16666666666666666,Sultai Arisen,Sultai Arisen,Tarkir Dragonstorm,https://moxfield.com/decks/puUUlzKNckGa-UnaRQSbxw
Legado das Lendas,6,2,0,1,3,4,0.3333333333333333,Legado das Lendas,Legends' Legacy,Dominaria United,https://moxfield.com/decks/eK0R7eXEL0uRskzi1YDCPQ
Jeskai Striker,4,2,0,1,2,2,0.5,Jeskai Striker,Jeskai Striker,Tarkir Dragonstorm,https://moxfield.com/decks/GqSQ24NIJkq-144dkab-HQ
Limit Break,4,1,0,2,2,3,0.25,Limit Break,Limit Break,Final Fantasy,https://moxfield.com/decks/pTUR6p0yNkOoxDNqo8TMEw
Most Wanted,4,1,0,2,2,3,0.25,Most Wanted,Most Wanted,Outlaws of Thunder Junction,https://moxfield.com/decks/ln4DVjJZIUau9OnrwJgTWw
Saída do Exílio,4,2,0,2,2,2,0.5,Saída do Exílio,Exit from Exile,Commander Legends: Battle for Baldur's Gate,https://moxfield.com/decks/KxwR1gan906BkACQCgMZHg
Rituais de Sangue,4,0,0,2,2,4,0.0,Rituais de Sangue,Blood Rites,The Lost Caverns of Ixalan,https://moxfield.com/decks/GxV4Jc-yLkW_i6H3idVTYA
Quick Draw,4,0,0,2,2,4,0.0,Quick Draw,Quick Draw,Outlaws of Thunder Junction,https://moxfield.com/decks/boNvom94g0aH6vK8I3lRQw
Abzan Armor,4,2,0,2,2,2,0.5,Abzan Armor,Abzan Armor,Tarkir Dragonstorm,https://moxfield.com/decks/hdTiRiY5IEyCJFL2BR8cyg
Ameaça Mutante,4,2,0,2,2,2,0.5,Ameaça Mutante,Mutant Menace,Fallout,https://moxfield.com/decks/948Bdak9Pki93eeh-lUUVA
Domínio das Fadinas,4,0,0,2,2,4,0.0,Domínio das Fadinas,Fae Dominion,Wilds of Eldraine,https://moxfield.com/decks/ErDyBjAnKE6l5TqX6wMxdg
Dinastias Necron,4,0,0,2,2,4,0.0,Dinastias Necron,Necron Dynasties,Warhammer 40.000,https://moxfield.com/decks/zKKMeZv9mkGJtotwFAmqIg
Miracle Worker,4,0,0,1,2,4,0.0,Miracle Worker,Miracle Worker,Duskmourn: House of Horror,https://moxfield.com/decks/NZO-EnO6dkOVJ3i0V7ghkA
Caos Encarnado,2,1,0,1,1,1,0.5,Caos Encarnado,Chaos Incarnate,Starter Commander Decks,https://moxfield.com/decks/sPPLlmLPTUyzTMlA0yZjNQ
Esquadrilha Espiritual,2,0,0,1,1,2,0.0,Esquadrilha Espiritual,Spirit Squadron,Innistrad: Crimson Vow,https://moxfield.com/decks/5UWNNgD5206ywMSHOHK1TA
Eldrazi Incursion,2,0,0,1,1,2,0.0,Eldrazi Incursion,Eldrazi Incursion,Modern Horizons 3,https://moxfield.com/decks/ZjBxTiLjEkmaQ9mhgSaOZA
Encantamentos Resistentes,2,0,0,1,1,2,0.0,Encantamentos Resistentes,Enduring Enchantments,Commander Masters,https://moxfield.com/decks/EM4BmB0Utk-bqMDYgcQAlw
Deep Clue Sea,2,0,0,1,1,2,0.0,Deep Clue Sea,Deep Clue Sea,Murders at Karlov Manor,https://moxfield.com/decks/wZKi0Vy3-0ejCwbhAwyh7g
Cacofonia dos Cabaretti,2,1,0,1,1,1,0.5,Cacofonia dos Cabaretti,Cabaretti Cacophony,Streets of New Capenna,https://moxfield.com/decks/GyEvLRf31UqSk08E5aM4AA
Comida e Sociedade,2,0,0,1,1,2,0.0,Comida e Sociedade,Food and Fellowship,The Lord Of The Rings: Tales Of Middle-Earth,https://moxfield.com/decks/KOqweQdLSUSWGxKHtyy95Q
Conflito Aberto,2,0,0,1,1,2,0.0,Conflito Aberto,Open Hostility,Commander 2016,https://moxfield.com/decks/x4ZHwrqgN0qOauhiAGD7xw
Living Energy,2,1,0,1,1,1,0.5,Living Energy,Living Energy,Aetherdrift,https://moxfield.com/decks/TRnjgpdkTkqqVQL3g4gOdw
Blast from the Past,2,0,0,1,1,2,0.0,Blast from the Past,Blast from the Past,Doctor Who,https://moxfield.com/decks/DrrgKpdOf0mmfCVUIyraLw
Arme-se para a Batalha,2,1,0,1,1,1,0.5,Arme-se para a Batalha,Arm for Battle,Commander Legends,https://moxfield.com/decks/GXIGAHSYV0SAsyuODY0Zhw
Forças do Império,2,0,0,1,1,2,0.0,Forças do Império,Forces of the Imperium,Warhammer 40.000,https://moxfield.com/decks/vBgNOCq5CUWU3B4c5m8gXA
Festa dos Planeswalker,2,1,0,1,1,1,0.5,Festa dos Planeswalker,Planeswalker Party,Commander Masters,https://moxfield.com/decks/BYtodI0bP02r4z6UCkNkOg
Graveyard Overdrive,2,0,0,1,1,2,0.0,Graveyard Overdrive,Graveyard Overdrive,Modern Horizons 3,https://moxfield.com/decks/kQGUOyS7CkKBgvxiu3FHfQ
https://moxfield.com/decks/pnGkUqRJ5EyzT3J7OSlWeg,2,0,0,1,1,2,0.0,,,,https://moxfield.com/decks/pnGkUqRJ5EyzT3J7OSlWeg
Eternal Might,1,0,0,1,1,1,0.0,Eternal Might,Eternal Might,Aetherdrift,https://moxfield.com/decks/ULyYbD7SNUS3Z4EM-QnE-A
