tid,player_name,team_name,team_key,tournament_name,start_date,month,matches,wins,draws,losses,points_match,win_rate,opp_win_rate,event_rank,event_points,event_players,event_teams
liga-2x2-presencial-s1-e08,Manfrinato,Manfrinato & Melissa,manfrinato & melissa,Liga 2x2 presencial S1-E08,2026-03-21,2026-03,3,0,0,3,0,0.0,0.5555555555555555,8,1,8,8
liga-2x2-presencial-s1-e07,Martin,Jorel & Martin,jorel & martin,Liga 2x2 presencial S1-E07,2026-03-14,2026-03,3,3,0,0,9,1.0,0.4444444444444444,1,3,8,8
liga-2x2-presencial-s1-e06,Matheus,Luciano & Matheus,luciano & matheus,Liga 2x2 presencial S1-E06,2026-03-07,2026-03,3,1,0,2,3,0.3333333333333333,0.3333333333333333,3,2,5,5
liga-2x2-presencial-s1-e06,Mel,Carlos & Mel,carlos & mel,Liga 2x2 presencial S1-E06,2026-03-07,2026-03,3,2,0,1,6,0.6666666666666666,0.2222222222222222,2,2,5,5
liga-2x2-presencial-s1-e08,Melissa,Manfrinato & Melissa,manfrinato & melissa,Liga 2x2 presencial S1-E08,2026-03-21,2026-03,3,0,0,3,0,0.0,0.5555555555555555,8,1,8,8
liga-2x2-presencial-s1-e07,Melk,Gustavo Dias & Melk,gustavo dias & melk,Liga 2x2 presencial S1-E07,2026-03-14,2026-03,3,1,2,0,5,0.3333333333333333,0.1111111111111111,4,2,8,8
liga-2x2-presencial-s1-e06,Metusa,Metusa & Rudzzt,metusa & rudzzt,Liga 2x2 presencial S1-E06,2026-03-07,2026-03,3,2,1,0,7,0.6666666666666666,0.3333333333333333,1,3,5,5
liga-2x2-presencial-s1-e08,Murilo,Matheus & Murilo,matheus & murilo,Liga 2x2 presencial S1-E08,2026-03-21,2026-03,3,1,0,2,3,0.3333333333333333,0.5555555555555555,6,1,8,8
liga-2x2-presencial-s1-e07,Murilo Ferreira,Langa & Murilo Ferreira,langa & murilo ferreira,Liga 2x2 presencial S1-E07,2026-03-14,2026-03,3,2,0,1,6,0.6666666666666666,0.4444444444444444,2,2,8,8
liga-2x2-presencial-s1-e09,Murilo Oyafuso,Arthur Castanhari & Murilo Oyafuso,arthur castanhari & murilo oyafuso,Liga 2x2 presencial S1-E09,2026-03-28,2026-03,3,3,0,0,9,1.0,0.16666666666666666,1,3,5,5
liga-2x2-presencial-s1-e07,Nicolas,Nicolas & Nobru,nicolas & nobru,Liga 2x2 presencial S1-E07,2026-03-14,2026-03,3,0,0,3,0,0.0,0.3333333333333333,8,1,8,8
liga-2x2-presencial-s1-e08,Nobru,Guga & Nobru,guga & nobru,Liga 2x2 presencial S1-E08,2026-03-21,2026-03,3,1,0,2,3,0.3333333333333333,0.4444444444444444,7,1,8,8
liga-2x2-presencial-s1-e09,Oscar,Anthony & Oscar,anthony & oscar,Liga 2x2 presencial S1-E09,2026-03-28,2026-03,2,0,1,1,4,0.0,0.5,3,2,5,5
liga-2x2-presencial-s1-e09,Romano,Matheus & Romano,matheus & romano,Liga 2x2 presencial S1-E09,2026-03-28,2026-03,3,0,2,1,2,0.0,0.16666666666666666,5,1,5,5
liga-2x2-presencial-s1-e06,Rudzzt,Metusa & Rudzzt,metusa & rudzzt,Liga 2x2 presencial S1-E06,2026-03-07,2026-03,3,2,1,0,7,0.6666666666666666,0.3333333333333333,1,3,5,5
liga-2x2-presencial-s1-e08,Sônia,Melk & Sônia,melk & sonia,Liga 2x2 presencial S1-E08,2026-03-21,2026-03,3,1,1,1,4,0.3333333333333333,0.5555555555555555,4,2,8,8
liga-2x2-presencial-s1-e06,Tarik,Nobru & Tarik,nobru & tarik,Liga 2x2 presencial S1-E06,2026-03-07,2026-03,3,0,1,2,1,0.0,0.5555555555555555,5,1,5,5
liga-2x2-presencial-s1-e07,Theo,Leonardo & Theo,leonardo & theo,Liga 2x2 presencial S1-E07,2026-03-14,2026-03,3,1,0,2,3,0.3333333333333333,0.5555555555555555,6,1,8,8
liga-2x2-presencial-s1-e08,Vina,Vina & Zangalli,vina & zangalli,Liga 2x2 presencial S1-E08,2026-03-21,2026-03,3,3,0,0,9,1.0,0.4444444444444444,1,3,8,8
liga-2x2-presencial-s1-e08,Zangalli,Vina & Zangalli,vina & zangalli,Liga 2x2 presencial S1-E08,2026-03-21,2026-03,3,3,0,0,9,1.0,0.4444444444444444,1,3,8,8
liga-2x2-presencial-s2-e2,André,André & Matheus,andre & matheus,Liga 2x2 presencial S2-E2,2026-04-11,2026-04,2,0,0,2,3,0.0,0.5,8,1,9,9
liga-2x2-presencial-s2-e2,Arthur Castanhari,Arthur Castanhari & Murilo Oyafuso,arthur castanhari & murilo oyafuso,Liga 2x2 presencial S2-E2,2026-04-11,2026-04,3,2,1,0,7,0.6666666666666666,0.4444444444444444,2,2,9,9
