tid,tournament_name,start_date,round,table,status
liga-2x2-presencial-s2-e1,Liga 2x2 presencial S2-E1,2026-04-04,2,4,
liga-2x2-presencial-s2-e1,Liga 2x2 presencial S2-E1,2026-04-04,3,1,
liga-2x2-presencial-s2-e1,Liga 2x2 presencial S2-E1,2026-04-04,3,2,
liga-2x2-presencial-s2-e1,Liga 2x2 presencial S2-E1,2026-04-04,3,3,
liga-2x2-presencial-s2-e1,Liga 2x2 presencial S2-E1,2026-04-04,3,4,
liga-2x2-presencial-s2-e2,Liga 2x2 presencial S2-E2,2026-04-11,1,1,
liga-2x2-presencial-s2-e2,Liga 2x2 presencial S2-E2,2026-04-11,1,2,
liga-2x2-presencial-s2-e2,Liga 2x2 presencial S2-E2,2026-04-11,1,3,
liga-2x2-presencial-s2-e2,Liga 2x2 presencial S2-E2,2026-04-11,1,4,
liga-2x2-presencial-s2-e2,Liga 2x2 presencial S2-E2,2026-04-11,2,1,
liga-2x2-presencial-s2-e2,Liga 2x2 presencial S2-E2,2026-04-11,2,2,
liga-2x2-presencial-s2-e2,Liga 2x2 presencial S2-E2,2026-04-11,2,3,
liga-2x2-presencial-s2-e2,Liga 2x2 presencial S2-E2,2026-04-11,2,4,
liga-2x2-presencial-s2-e2,Liga 2x2 presencial S2-E2,2026-04-11,3,1,
liga-2x2-presencial-s2-e2,Liga 2x2 presencial S2-E2,2026-04-11,3,2,
liga-2x2-presencial-s2-e2,Liga 2x2 presencial S2-E2,2026-04-11,3,3,
liga-2x2-presencial-s2-e2,Liga 2x2 presencial S2-E2,2026-04-11,3,4,
liga-2x2-presencial-s2-e3,Liga 2x2 presencial S2-E3,2026-04-25,1,1,
liga-2x2-presencial-s2-e3,Liga 2x2 presencial S2-E3,2026-04-25,1,2,
liga-2x2-presencial-s2-e3,Liga 2x2 presencial S2-E3,2026-04-25,1,3,
liga-2x2-presencial-s2-e3,Liga 2x2 presencial S2-E3,2026-04-25,1,4,
liga-2x2-presencial-s2-e3,Liga 2x2 presencial S2-E3,2026-04-25,2,1,
liga-2x2-presencial-s2-e3,Liga 2x2 presencial S2-E3,2026-04-25,2,2,
liga-2x2-presencial-s2-e3,Liga 2x2 presencial S2-E3,2026-04-25,2,3,
liga-2x2-presencial-s2-e3,Liga 2x2 presencial S2-E3,2026-04-25,2,4,
liga-2x2-presencial-s2-e3,Liga 2x2 presencial S2-E3,2026-04-25,3,1,
liga-2x2-presencial-s2-e3,Liga 2x2 presencial S2-E3,2026-04-25,3,2,
liga-2x2-presencial-s2-e3,Liga 2x2 presencial S2-E3,2026-04-25,3,3,
liga-2x2-presencial-s2-e3,Liga 2x2 presencial S2-E3,2026-04-25,3,4,
liga-2x2-presencial-s2-e4,Liga 2x2 presencial S2-E4,2026-05-02,1,1,
liga-2x2-presencial-s2-e4,Liga 2x2 presencial S2-E4,2026-05-02,1,2,
liga-2x2-presencial-s2-e4,Liga 2x2 presencial S2-E4,2026-05-02,1,3,
liga-2x2-presencial-s2-e4,Liga 2x2 presencial S2-E4,2026-05-02,2,1,
liga-2x2-presencial-s2-e4,Liga 2x2 presencial S2-E4,2026-05-02,2,2,
liga-2x2-presencial-s2-e4,Liga 2x2 presencial S2-E4,2026-05-02,2,3,
liga-2x2-presencial-s2-e4,Liga 2x2 presencial S2-E4,2026-05-02,3,1,
liga-2x2-presencial-s2-e4,Liga 2x2 presencial S2-E4,2026-05-02,3,2,
liga-2x2-presencial-s2-e4,Liga 2x2 presencial S2-E4,2026-05-02,3,3,
liga-2x2-presencial-s2-e5,Liga 2x2 presencial S2-E5,2026-05-09,1,1,
liga-2x2-presencial-s2-e5,Liga 2x2 presencial S2-E5,2026-05-09,1,2,
liga-2x2-presencial-s2-e5,Liga 2x2 presencial S2-E5,2026-05-09,1,3,
liga-2x2-presencial-s2-e5,Liga 2x2 presencial S2-E5,2026-05-09,1,4,
liga-2x2-presencial-s2-e5,Liga 2x2 presencial S2-E5,2026-05-09,2,1,
liga-2x2-presencial-s2-e5,Liga 2x2 presencial S2-E5,2026-05-09,2,2,
liga-2x2-presencial-s2-e5,Liga 2x2 presencial S2-E5,2026-05-09,2,3,
liga-2x2-presencial-s2-e5,Liga 2x2 presencial S2-E5,2026-05-09,2,4,
liga-2x2-presencial-s2-e5,Liga 2x2 presencial S2-E5,2026-05-09,3,1,
liga-2x2-presencial-s2-e5,Liga 2x2 presencial S2-E5,2026-05-09,3,2,
liga-2x2-presencial-s2-e5,Liga 2x2 presencial S2-E5,2026-05-09,3,3,
liga-2x2-presencial-s2-e5,Liga 2x2 presencial S2-E5,2026-05-09,3,4,
liga-2x2-presencial-s2-e6,Liga 2x2 presencial S2-E6,2026-05-16,1,1,
liga-2x2-presencial-s2-e6,Liga 2x2 presencial S2-E6,2026-05-16,1,2,
liga-2x2-presencial-s2-e6,Liga 2x2 presencial S2-E6,2026-05-16,1,3,
liga-2x2-presencial-s2-e6,Liga 2x2 presencial S2-E6,2026-05-16,1,4,
liga-2x2-presencial-s2-e6,Liga 2x2 presencial S2-E6,2026-05-16,2,1,
liga-2x2-presencial-s2-e6,Liga 2x2 presencial S2-E6,2026-05-16,2,2,
