deck_key,partidas_jogadas,vitorias,empates,jogadores_unicos,eventos,derrotas,win_rate,deck_name_pt,deck_name_en,colecao,deck_url
World Shaper,6,2,2,1,2,2,0.3333333333333333,World Shaper,World Shaper,Edge of Eternities,https://moxfield.com/decks/n04yWsMGvUCmMQ8ImxJ_0A
Timey-Wimey,6,2,1,2,2,3,0.3333333333333333,Timey-Wimey,Timey-Wimey,Doctor Who,https://moxfield.com/decks/weR7hsL3Vk-I2qTNGqfK2w
Ameaça sem Rosto,3,0,2,1,1,1,0.0,Ameaça sem Rosto,Faceless Menace,Commander 2019,https://moxfield.com/decks/LCH-fa6KIUmzfF-ul72Ucw
Angels: They're Just Like Us but Cooler and With Wings,3,0,0,1,1,3,0.0,Angels: They're Just Like Us but Cooler and With Wings,Angels: They're Just Like Us but Cooler and With Wings,Secret Lair Commander Deck,https://moxfield.com/decks/Q3Wn5qhG0UWFaGIYEpmRjQ
Cavaleiros de Rohan,3,1,0,1,1,2,0.3333333333333333,Cavaleiros de Rohan,Riders of Rohan,The Lord Of The Rings: Tales Of Middle-Earth,https://moxfield.com/decks/hi-cA6GBykKPYJ9xW0g_KQ
Ciência!,3,1,2,1,1,0,0.3333333333333333,Ciência!,Science!,Fallout,https://moxfield.com/decks/MGW4G6BLH0aqomnBukdqVg
Forças do Império,3,2,0,1,1,1,0.6666666666666666,Forças do Império,Forces of the Imperium,Warhammer 40.000,https://moxfield.com/decks/vBgNOCq5CUWU3B4c5m8gXA
Graveyard Overdrive,3,0,2,1,1,1,0.0,Graveyard Overdrive,Graveyard Overdrive,Modern Horizons 3,https://moxfield.com/decks/kQGUOyS7CkKBgvxiu3FHfQ
Ferocidade Felina,3,1,0,1,1,2,0.3333333333333333,Ferocidade Felina,Feline Ferocity,Commander 2017,https://moxfield.com/decks/T9XdORiOPky0VSmV63hoKA
Maelstrom Arcano,3,2,0,1,1,1,0.6666666666666666,Maelstrom Arcano,Arcane Maelstrom,Commander 2020 - Ikoria,https://moxfield.com/decks/9dBPnvVgpE6CUYp-3EHlAw
Levante Entrópico,3,1,0,1,1,2,0.3333333333333333,Levante Entrópico,Entropic Uprising,Commander 2016,https://moxfield.com/decks/s4Ex7br4q0iFcwYzq80M7w
Limit Break,3,1,1,1,1,1,0.3333333333333333,Limit Break,Limit Break,Final Fantasy,https://moxfield.com/decks/pTUR6p0yNkOoxDNqo8TMEw
Pedido de Apoio,3,1,0,1,1,2,0.3333333333333333,Pedido de Apoio,Call for Backup,March of the Machine,https://moxfield.com/decks/tqa1AHW1_0WhE-TvWKD1Ng
Eternal Might,3,0,1,1,1,2,0.0,Eternal Might,Eternal Might,Aetherdrift,https://moxfield.com/decks/ULyYbD7SNUS3Z4EM-QnE-A
Tricky Terrain,3,0,1,1,1,2,0.0,Tricky Terrain,Tricky Terrain,Modern Horizons 3,https://moxfield.com/decks/oZAUJUI4OESC2r8Yz9hhRw
Enxame Tiranídeo,2,1,0,1,1,1,0.5,Enxame Tiranídeo,Tyranid Swarm,Warhammer 40.000,https://moxfield.com/decks/QJe_FP2DjUOOXtPk4I446Q
