tid,tournament_name,start_date,team_name,raw_team,player_name,slot,deck
liga-2x2-online-s1-e04,Liga 2x2 Online S1-E04,2026-03-05,Chueiry & Vicente,Chueiry & Vicente,Chueiry,1,sem deck
liga-2x2-online-s1-e04,Liga 2x2 Online S1-E04,2026-03-05,Chueiry & Vicente,Chueiry & Vicente,Vicente,2,sem deck
liga-2x2-online-s1-e04,Liga 2x2 Online S1-E04,2026-03-05,Jorel & Martin,Jorel & Martin,Jorel,1,sem deck
liga-2x2-online-s1-e04,Liga 2x2 Online S1-E04,2026-03-05,Jorel & Martin,Jorel & Martin,Martin,2,sem deck
liga-2x2-online-s1-e04,Liga 2x2 Online S1-E04,2026-03-05,Zangalli & Zangalli pai,Zangalli & Zangalli pai,Zangalli,1,sem deck
liga-2x2-online-s1-e04,Liga 2x2 Online S1-E04,2026-03-05,Zangalli & Zangalli pai,Zangalli & Zangalli pai,Zangalli pai,2,sem deck
